"Parloa, Inc.","Parloa empowers global enterprises to build, train and manage agentic AI solutions for premier customer experiences. Founded by Malte Kosub and Stefan Ostwald, Parloa began with the belief that every ...",2812
Patient Experience & Wellness,Explore innovative telehealth platforms and remote monitoring solutions that enhance patient experiences and drive continuous engagement in their health journeys. The Patient Experience & Wellness Pav...,3264
"Paubox, Inc.","Paubox is a leader in HIPAA compliant email security for healthcare. Trusted by more than 8,000 organizations, including Cost Plus Drugs, Rippling, and Covenant Health, Paubox works with your existing...",660
PCI Pal,"PCI Pal is a leading global provider of secure engagement solutions that enable organizations globally to offer a frictionless and secure payment experience to their customers. With PCI Pal, end-users...",10001-02
PDC,"Connecting Health Systems to What Matters Most PDC Healthcare enables connected care from admission to discharge with end-to-end identification solutions, including printers, barcode scanners, wris...",436
"PDi Communication Systems, Inc.","Bring Epic MyChart Bedside TV, streaming TV, and IPTV infotainment to your patients. Streamline clinical workflows and patient engagement with PDi cloud-based smart room solutions. With the latest int...",4170
PEO DHMS - Enterprise Intelligence and Data Solutions (EIDS),"Under PEO DHMS, the Enterprise Intelligence and Data Solution program management office provides a centralized repository for all Military Health System data along with a portfolio of innovative peopl...",12526-10
PEO DHMS - JOMIS,"Under PEO DHMS, the JOMIS PMO provides health information technology capabilities to meet existing and emerging operational medicine requirements. JOMIS manages and maintains primary tactical medical ...",12526-11
Peraton,Peraton is a next-generation national security company that drives missions of consequence spanning the globe and extending to the farthest reaches of the galaxy. As one of the world’s leading mission...,MP11359
"PerfectServe, Inc.","PerfectServe accelerates speed to care by optimizing provider schedules, streamlining clinical communication, and engaging patients and their families in the care experience. Our cloud-based software ...",12511-03
Petal Health,"Petal enables health providers and hospital networks to unlock real-time capacity and intelligently route care demand to the best available, lower-cost option. By making capacity and availability visi...",861
Philips,Philips is a leading health technology company focused on improving people's health and well-being through meaningful innovation. Philips’ patient- and people-centric innovation leverages advanced tec...,2833
Philips Dictation,"Philips Dictation, powered by Speech Processing Solutions (SPS), delivers professional dictation solutions tailored for healthcare environments. Innovations such as SpeechMike Ambient, a wearable AI a...",654
"PilotFish, Inc.",PilotFish’s Hybrid Integration Platform features an exclusive graphical automated interface assembly line process. No coding or scripting is required to build and maintain interfaces. BAs and non-deve...,5821
Pindrop Security,"Pindrop solutions protect some of the world’s largest banks, insurers, and retailers using patented technology that extracts intelligence from every call encountered. These solutions help detect fraud...","10001-52, 5747"
Pioneer Solution Inc.,"Pioneer Solution Inc. designs and manufactures a complete line of industry specific all-in-one computers, touchscreen monitors, kiosks, and tablets. Founded in 1994 and based in California, Pioneer ma...",6444
Pixel Technology Ltd.,,11224
"Plaid, Inc.",,1019
Platinum Line,"PlatinumLine is transforming communication and patient care across Post-Acute Care, Long-Term Care, Home Health, and Hospice settings. Our platform streamlines collaboration and improves outcomes. Enj...",717-24
PLS,"PLS is an IT Integrator and Managed Service Provider based in Tempe, Arizona. Our team delivers best-in-class technology solutions to a variety of industries, including traditional and specialty retai...",653
PointClickCare,"PointClickCare is a leading health tech company with one simple mission: to help providers deliver exceptional care. With the largest network of acute and long-term and post-acute care (LTPAC) data, w...",4416
Pointr,"Pointr is the leader in digital maps and bluedot location technology for healthcare facilities. With intuitive interactive maps and seamless digital patient wayfinding, Pointr's technology helps reduc...",465
PolyAI,"PolyAI powers patient communication with human-like agents fine tuned for clinical language. With a proven track record across clinics and specialities, we help healthcare teams automate intake, sched...",4411
Polymatech,"Polymatech Electronics proudly stands as India’s first semiconductor chip manufacturer. With a relentless focus on innovation, precision, and quality, Our mission is to empower industries and societie...",6437
Premier Lounge,,12538
Prima Systems,"Prima Systems is a leading provider of healthcare business process outsourcing services. With a team of highly-skilled professionals and state-of-the-art technology, we specialize in offering a wide r...",3864
